"ZONA";"SUBZONA";"CO_X";"CO_Y";"SUBZONA_ORIGEM"
1;1;-46,6323621853;-23,5475305;"001-01"
1;2;-46,6313253955;-23,550305;"001-02"
1;3;-46,6358101916;-23,5494265;"001-03"
1;4;-46,6351934379;-23,545579;"001-04"
2;1;-46,6325185678;-23,543148;"002-01"
2;2;-46,6301070916;-23,5378075;"002-02"
2;3;-46,6297767932;-23,5443925;"002-03"
2;4;-46,6272400727;-23,5469255;"002-04"
2;5;-46,6267246303;-23,55152;"002-05"
3;1;-46,6346436349;-23,552561;"003-01"
3;2;-46,6299280222;-23,5535195;"003-02"
4;1;-46,6412412458;-23,548715;"004-01"
4;2;-46,6394270842;-23,5503745;"004-02"
4;3;-46,6407528065;-23,55293;"004-03"
4;4;-46,6443470141;-23,548995;"004-04"
5;1;-46,6428906463;-23,5416075;"005-01"
5;2;-46,6398342642;-23,5448245;"005-02"
5;3;-46,6437805782;-23,546023;"005-03"
5;4;-46,6456423162;-23,544055;"005-04"
6;1;-46,63819771;-23,538105;"006-01"
6;2;-46,6351995445;-23,537058;"006-02"
6;3;-46,6355461054;-23,541532;"006-03"
6;4;-46,6421365054;-23,5393675;"006-04"
7;1;-46,6343355292;-23,531789;"007-01"
7;2;-46,6292850624;-23,530947;"007-02"
7;3;-46,6291769704;-23,534371;"007-03"
7;4;-46,6396809551;-23,530185;"007-04"
7;5;-46,6361514064;-23,5279665;"007-05"
8;1;-46,6219799472;-23,5480905;"008-01"
8;2;-46,6222441522;-23,542349;"008-02"
8;3;-46,6164518871;-23,547263;"008-03"
8;4;-46,618574361;-23,5516225;"008-04"
9;1;-46,6241844589;-23,557649;"009-01"
9;2;-46,6183683483;-23,5557795;"009-02"
9;3;-46,6097397616;-23,5611905;"009-03"
9;4;-46,6132680841;-23,565625;"009-04"
9;5;-46,6188869795;-23,5612465;"009-05"
10;1;-46,6179962487;-23,567691;"010-01"
10;2;-46,6198317292;-23,5739155;"010-02"
10;3;-46,6228424877;-23,5761765;"010-03"
11;1;-46,6287020599;-23,5624205;"011-01"
11;2;-46,628050996;-23,5577625;"011-02"
11;3;-46,6273979557;-23,5645555;"011-03"
11;4;-46,6247133163;-23,568115;"011-04"
12;1;-46,6300459159;-23,5701565;"012-01"
12;2;-46,6273258845;-23,573611;"012-02"
12;3;-46,6311748527;-23,5755865;"012-03"
12;4;-46,6365363345;-23,5710155;"012-04"
12;5;-46,6320154901;-23,5681195;"012-05"
12;6;-46,633268752;-23,5644585;"012-06"
13;1;-46,6347670889;-23,5591995;"013-01"
13;2;-46,6362980616;-23,5627465;"013-02"
13;3;-46,6393455995;-23,5678755;"013-03"
14;1;-46,6498341038;-23,5533385;"014-01"
14;2;-46,647391334;-23,5564465;"014-02"
14;3;-46,6428049756;-23,557061;"014-03"
14;4;-46,6402542678;-23,55883;"014-04"
15;1;-46,6456084054;-23,5668425;"015-01"
15;2;-46,6409950134;-23,565778;"015-02"
15;3;-46,6427044662;-23,5690855;"015-03"
15;4;-46,6462186488;-23,5684315;"015-04"
15;5;-46,6467379726;-23,561036;"015-05"
16;1;-46,6528974097;-23,5593475;"016-01"
16;2;-46,6503821625;-23,560597;"016-02"
16;3;-46,6503669365;-23,5642655;"016-03"
16;4;-46,6563203757;-23,559987;"016-04"
16;5;-46,6542891337;-23,5565645;"016-05"
17;1;-46,6575211087;-23,5479085;"017-01"
17;2;-46,6560294211;-23,5446325;"017-02"
17;3;-46,6543863034;-23,5424705;"017-03"
17;4;-46,6497951125;-23,5451925;"017-04"
17;5;-46,6496613531;-23,5500475;"017-05"
17;6;-46,6552416036;-23,552562;"017-06"
17;7;-46,6595084561;-23,5556365;"017-07"
17;8;-46,6609965723;-23,552044;"017-08"
18;1;-46,6423959835;-23,5325055;"018-01"
18;2;-46,6468019393;-23,5354115;"018-02"
18;3;-46,650613918;-23,538203;"018-03"
18;4;-46,649425534;-23,53247;"018-04"
19;1;-46,6417471089;-23,519525;"019-01"
19;2;-46,6327544187;-23,5213505;"019-02"
19;3;-46,6270788653;-23,5254485;"019-03"
19;4;-46,6303649128;-23,5278915;"019-04"
19;5;-46,6338126958;-23,524473;"019-05"
19;6;-46,6393757042;-23,5229315;"019-06"
19;7;-46,6431759739;-23,523471;"019-07"
19;8;-46,6466412275;-23,524849;"019-08"
19;9;-46,6494112282;-23,5198825;"019-09"
20;1;-46,6236087757;-23,527371;"020-01"
20;2;-46,6202883727;-23,5221795;"020-02"
20;3;-46,613807184;-23,5229165;"020-03"
20;4;-46,6086302361;-23,5256845;"020-04"
21;1;-46,6233232816;-23,531437;"021-01"
21;2;-46,6188784813;-23,5301285;"021-02"
21;3;-46,6153767323;-23,5275525;"021-03"
