"CO_X";"CO_Y";"CONTROLE_3";"ZON_SUBZON";"CONTROLE";"ZONA_SIMUL";"checa controle";"checa controle 3";"ZONA";"SUBZONA"
-46,6157020395;-23,671683;"181-02";"181-03";181;665;"dif";"dif";181;3
-46,5108755222;-23,6868855;"239-02";"239-03";"239-2";834;"dif";"dif";239;3
-46,5498926915;-23,69466;"240-01";"240-05";240;836;"dif";"dif";240;5
-46,5490272615;-23,7123095;"240-02";"240-04";240;837;"dif";"dif";240;4
-46,5748153454;-23,698843;"241-02";"241-05";241;840;"dif";"dif";241;5
-46,8001046731;-23,621586;"261-03";"261-04";261;898;"dif";"dif";261;4
-46,6614882565;-23,738203;"301-01";"301-02";"301-2";1006;"dif";"dif";301;2
-46,6888028847;-23,7688675;"301-03";"301-05";"301-5";1007;"dif";"dif";301;5
-46,3322799976;-23,4201405;"328-03";"328-04";328;1060;"dif";"dif";328;4
-46,6417471089;-23,519525;"019-01";"019-01";"NULL";80;"dif";"igual";19;1
-46,6393757042;-23,5229315;"019-06";"019-06";"NULL";85;"dif";"igual";19;6
-46,640669019;-23,580195;"031-02";"031-02";"NULL";134;"dif";"igual";31;2
-46,6436803033;-23,5741035;"032-03";"032-03";"NULL";139;"dif";"igual";32;3
-46,6448847823;-23,6198665;"111-04";"111-04";"NULL";441;"dif";"igual";111;4
-46,5506393323;-23,4701875;"157-01";"157-01";157;585;"dif";"igual";157;1
-46,5497303637;-23,447355;"157-02";"157-02";157;586;"dif";"igual";157;2
-46,5234438971;-23,462986;"158-01";"158-01";158;587;"dif";"igual";158;1
-46,5954639966;-23,66055;"180-01";"180-01";180;662;"dif";"igual";180;1
-46,5675848239;-23,6584265;"180-02";"180-02";180;663;"dif";"igual";180;2
-46,6210564494;-23,68273;"181-01";"181-01";181;664;"dif";"igual";181;1
-46,7059374847;-23,646994;"191-01";"191-01";"NULL";696;"dif";"igual";191;1
-46,6992186514;-23,649699;"191-02";"191-02";"NULL";697;"dif";"igual";191;2
-46,5117015002;-23,407954;"216-01";"216-01";216;768;"dif";"igual";216;1
-46,5131564452;-23,438401;"217-01";"217-01";217;769;"dif";"igual";217;1
-46,5307614944;-23,6863575;"239-01";"239-01";"239-1";833;"dif";"igual";239;1
-46,5612886746;-23,6791965;"240-07";"240-07";240;838;"dif";"igual";240;7
-46,5730238374;-23,6806365;"241-01";"241-01";241;839;"dif";"igual";241;1
-46,5734961666;-23,711894;"241-03";"241-03";241;841;"dif";"igual";241;3
-46,587212901;-23,6789735;"242-03";"242-03";242;842;"dif";"igual";242;3
-46,6106907135;-23,71174;"242-01";"242-01";242;843;"dif";"igual";242;1
-46,5962813411;-23,705236;"242-02";"242-02";242;844;"dif";"igual";242;2
-46,5980236279;-23,6738095;"242-04";"242-04";242;845;"dif";"igual";242;4
-46,7665302389;-23,6070805;"260-01";"260-01";260;896;"dif";"igual";260;1
-46,7850746927;-23,629665;"261-01";"261-01";261;897;"dif";"igual";261;1
-46,8095379629;-23,589389;"265-01";"265-01";265;904;"dif";"igual";265;1
-46,6814609739;-23,3909465;"273-01";"273-01";273;925;"dif";"igual";273;1
-46,6218182434;-23,3780695;"274-01";"274-01";274;926;"dif";"igual";274;1
-46,5168096058;-23,381177;"275-01";"275-01";275;927;"dif";"igual";275;1
-46,4266587396;-23,379319;"276-01";"276-01";276;928;"dif";"igual";276;1
-46,4805237176;-23,4377065;"277-01";"277-01";277;929;"dif";"igual";277;1
-46,4949627267;-23,7369025;"298-01";"298-01";298;1002;"dif";"igual";298;1
-46,5332841423;-23,7227345;"299-01";"299-01";299;1003;"dif";"igual";299;1
-46,5591773924;-23,7349975;"299-05";"299-05";299;1004;"dif";"igual";299;5
-46,6151851705;-23,7498545;"300-01";"300-01";300;1005;"dif";"igual";300;1
-46,6667736658;-23,770631;"301-04";"301-04";"301-4";1008;"dif";"igual";301;4
-46,6854711688;-23,7396685;"302-01";"302-01";"302-1";1009;"dif";"igual";302;1
-46,6973496626;-23,7497825;"302-02";"302-02";"302-2";1010;"dif";"igual";302;2
-46,7042831752;-23,7665135;"302-03";"302-03";"302-3";1011;"dif";"igual";302;3
-46,7153579648;-23,745681;"303-01";"303-01";"303-1";1012;"dif";"igual";303;1
-46,7628047013;-23,7321015;"304-01";"304-01";304;1013;"dif";"igual";304;1
-46,8185228698;-23,6616865;"309-01";"309-01";309;1028;"dif";"igual";309;1
-46,8420954202;-23,6476625;"310-01";"310-01";310;1029;"dif";"igual";310;1
-46,8832087212;-23,64757;"311-01";"311-01";311;1030;"dif";"igual";311;1
-46,8546652887;-23,59589;"312-01";"312-01";312;1031;"dif";"igual";312;1
-46,8603518877;-23,5637335;"313-01";"313-01";313;1032;"dif";"igual";313;1
-46,9098466554;-23,446179;"321-01";"321-01";321;1044;"dif";"igual";321;1
-46,5921233316;-23,333681;"326-01";"326-01";326;1056;"dif";"igual";326;1
-46,554006967;-23,3272205;"326-02";"326-02";326;1057;"dif";"igual";326;2
-46,3411653947;-23,3679895;"327-01";"327-01";327;1058;"dif";"igual";327;1
-46,308674088;-23,3912985;"328-01";"328-01";328;1059;"dif";"igual";328;1
-46,2837189262;-23,4114345;"330-01";"330-01";330;1063;"dif";"igual";330;1
-46,3072514346;-23,6565345;"341-01";"341-01";341;1088;"dif";"igual";341;1
-46,5286198015;-23,7737365;"346-01";"346-01";346;1096;"dif";"igual";346;1
-46,661929179;-23,802611;"347-01";"347-01";347;1097;"dif";"igual";347;1
