"CO_X";"CO_Y";"ZONA"
-46,632120968;-23,546505289;1
-46,623854551;-23,5408136182;2
-46,6216388473;-23,5471574176;3
-46,613550933;-23,5568425018;4
-46,6269299878;-23,5591782811;5
-46,6297827347;-23,554225924;6
-46,6354743931;-23,5539191846;7
-46,644874185;-23,5563597097;8
-46,6397383318;-23,5454875842;9
-46,6363651212;-23,5383119096;10
-46,6196748077;-23,537643685;11
-46,6102363167;-23,535615659;12
-46,6097251552;-23,5427547861;13
-46,6043882479;-23,5534436944;14
-46,5939161451;-23,5671018586;15
-46,6198576977;-23,5634743396;16
-46,6334778217;-23,5693939215;17
-46,6351060243;-23,5596790334;18
-46,6406532263;-23,5595658647;19
-46,6390795872;-23,567688257;20
-46,6424782273;-23,5664863353;21
-46,6505721487;-23,5637472511;22
-46,6570924371;-23,5564296461;23
-46,6470457598;-23,5463711865;24
-46,6515911893;-23,539934438;25
-46,6464680424;-23,5336256067;26
-46,6379865892;-23,5290579606;27
-46,6293083097;-23,5288641431;28
-46,619093862;-23,5304414643;29
-46,6145517147;-23,5237486829;30
-46,5972547318;-23,5315875914;31
-46,5928153437;-23,5393940816;32
-46,5927699444;-23,5470368848;33
-46,5790619318;-23,5594037699;34
-46,5793204573;-23,5767246737;35
-46,605189008;-23,5805613288;36
-46,6150310957;-23,5727967637;37
-46,6210301701;-23,5801815151;38
-46,6288261768;-23,5753524235;39
-46,6288293095;-23,5853391993;40
-46,6479682296;-23,574332525;41
-46,6648509954;-23,5777103703;42
-46,6656950793;-23,5631004566;43
-46,6629375246;-23,548620927;44
-46,658824782;-23,5373431833;45
-46,6555890757;-23,529678039;46
-46,6389623341;-23,521594932;47
-46,6352782747;-23,511130879;48
-46,6096447593;-23,5131457012;49
-46,589866166;-23,5183331344;50
-46,5691423243;-23,5160698284;51
-46,5766259264;-23,5324157708;52
-46,5734325455;-23,5476149802;53
-46,5592874198;-23,5696590521;54
-46,5467034921;-23,5845146925;55
-46,5607677091;-23,5959381584;56
-46,5813255727;-23,5898324594;57
-46,6065816099;-23,5960765734;58
-46,63301916;-23,5978430578;59
-46,6436575366;-23,5856227419;60
-46,6574469152;-23,5839356626;61
-46,680201911;-23,5895856398;62
-46,6787284255;-23,5693307554;63
-46,6772281512;-23,5561804577;64
-46,6759070241;-23,543896648;65
-46,6721310816;-23,5313141489;66
-46,662657331;-23,520626272;67
-46,6569472742;-23,5078934894;68
-46,6336573032;-23,499763832;69
-46,6181115503;-23,4944250343;70
-46,6033487624;-23,499753381;71
-46,5816121203;-23,5044419632;72
